id,age,sex,salary,height cms,weight kgs
931,57,F,78336.52,189,76
932,63,M,62095.5,137,211
933,27,F,22893.7,158,179
934,28,M,172607.75,225,289
935,25,F,32090.5,225,255
936,60,F,34331.67,206,211
937,23,M,47255.72,184,240
938,64,M,124022.36,160,116
939,45,M,55752.5,136,212
940,33,F,75253.84,211,131
941,44,F,54600.4,228,159
942,32,M,145888.81,235,182
943,56,F,23800.78,159,76
944,56,M,165405.65,145,222
945,62,M,163246.58,223,193
946,45,F,64686.33,226,274
947,22,F,175035.54,210,240
948,61,M,81067.35,130,166
949,31,F,114099.2,205,191
950,38,F,181531.43,130,67
951,53,M,157868.9,128,193
952,55,M,120600.06,121,201
953,53,M,24586.13,155,242
954,37,F,52221.0,207,96
955,32,M,142408.95,148,144
956,65,M,103529.69,144,299
957,27,F,180812.71,190,216
958,50,M,99854.52,213,254
959,24,M,195869.05,129,299
960,64,M,80053.33,150,188
961,19,M,122791.29,140,87
962,52,F,41663.5,136,244
963,19,F,17485.77,246,251
964,20,F,141098.26,211,287
965,55,F,181115.5,148,62
966,26,M,172010.27,195,107
967,23,F,142002.03,243,282
968,22,M,40233.93,190,114
969,26,F,66188.55,250,94
970,53,F,46995.24,131,260
971,36,M,73635.18,248,242
972,58,F,77542.71,154,298
973,41,M,63661.02,227,103
974,51,F,199743.87,218,248
975,56,F,39690.25,232,181
976,57,F,95742.15,175,290
977,62,F,41530.05,191,290
978,38,M,76198.57,241,206
979,30,M,177105.38,164,213
980,23,F,141876.14,128,203
981,38,M,48571.29,165,132
982,56,M,99520.8,141,250
983,42,M,172198.31,240,272
984,39,F,33008.48,141,110
985,54,M,30815.01,164,231
986,37,M,131939.63,139,283
987,60,M,57960.72,217,258
988,20,F,184452.86,193,168
989,38,M,166870.69,177,61
990,46,M,80873.21,219,87
991,37,M,30951.36,157,142
992,40,F,61983.79,235,196
993,57,M,183142.92,230,77
994,54,M,93040.43,245,164
995,48,F,42533.05,177,278
996,34,M,104262.99,165,69
997,70,M,50029.84,212,103
998,38,M,70585.67,238,137
999,67,F,149011.47,211,193
1000,27,F,102012.03,154,159
